,Prof,Lec,Star,Reviews
0,김정환,자료구조,5,상상 그 이상으로 점수 컷이 높지는 않으니까 열심히만 하시면 A 나와요내용은 어려워도 시험 쉽습니다~ 근데 만점이 되어야 A+ 절대 아니였어요
1,권동현,감성합창,5,진짜 노래 좋아하는 사람이라면 정발 꿀 교양!! 근데 안부르는 사람들 많아서 조금 지침.  ㅠㅠ. 합창 감상문 쓰는 과제있고 마지막 시간에 조별로 노래 부름 . 금요일에 들어도 억울하지 않음
2,고석구,통계학의이해,3,고 3 때 확률과 통계를 배워서 그런지 쉬웠음..솔직히 수업 거의 안듣고 졸고 그랬는데 이틀전에 벼락치기하고 에이나옴
3,이앤슈아이,중국어기초,4,이앤슈아이 교수님 진짜 좋았어요 ㅠㅠㅠ 열정적이시고 재밌게 하시려고 노력하세요 중간도 없고 단어시험도 없어요 중간은 발음 녹음해서 보내면 되는거라 잘 될때까지 다시 녹음 하면 돼서 괜찮아요! 다만 출석에 좀 까다로우세요 조금만 늦어도 바로 지각처리 돼요
4,손보람,라틴댄스,4,교수님이학생들한테 관심 많이 가져주세요동작이 막 어렵진 않은데시험때 엄청 꼼꼼하게 보셔서 어디서 깎일지 몰라요과제는 웰리스라이프 2주 계획표 써야하고오티하고 다음수업때 인바디 재요
5,한인송,자생식물의이해,3,보고서 한번 써야되고 외울거많은데 그외는  교수님은 착하고 좋음.
6,김성현,디자인이야기,4,공부할 양 많은거 빼고 학교 안가도 되서 좋았어요
7,안세근,지역사회봉사,4,"봉사하기만 하면 학점줘서 좋은데 봉사시간 채우기 은근 힘듦 직인받아야되고, 근데 이제 개선한다고하니깐 괜찮을듯"
8,박선화,영미문화의이해,4,출석 관리 엄청 철저하게 하시고 수업도 꼼꼼하게 나가심교수님 친절하시고 좋았어요
9,김경자,진로설정과경력개발,4,교수님이 열정적이셔서 좋았어요 3-4학년들이  많았는데 전 1학년이라 특히 잘 챙겨주셨어요 과제는 많은데 다들 어려운 과제가 아니라 직업 검사하고 이런 과제여서 괜찮았어요!! 시험도 없구 2번까지 빠지는건 봐주셔서 거의 다 패스에요!
10,이도남,역사의고전,4,수업 너무 재밌게 잘 해주시고 출석조절도 잘 해주시는데 그걸 이용해서 출튀하는 샠히들 혼내버리고 싶다!!
11,박희영,헬스앤휘트니스,1,헬스? 휘트니스? 에어로빅입니다. 심지어 교수님이 체육관에서 운동화 착용안합니다. 더할때는 구두착용하고 오십니다. 실기도 에어로빅으로 보고 전주에 운동자세 몇가지만 알려주더니 실기시험때 쪽지 뽑아서 쪽지에 적힌 부위의 운동을 보여주고 설명하는식으로 진행했습니다.  운동을 좋아하는 저에겐 이 과목은 최악입니다...
12,박종석,운동과건강관리,1,다른 교수님 수업 들으셈 차라리 외울거 너무 많고 양 너무 많아 나가려고 함
13,임진호,취업전략수립및역량개발1,5,과제가 많긴한데 어렵진 않아요. 상담할 때 좋은 얘기 많이 해주십니다.
14,전흥석,핼스케어앱창업,4,사업계획서 발표가 너무 깐깐함 실제 창업을 당장하는걸 바라시는것 같음 패스받기는 좋은 수업
15,윤성중,진로설정과경력개발,1,뭔 놈의 패논패 강의에 변별력을 가린다고 시험내고 과제를 내는지 전혀 이해가 되지않음학생들이 잘 되길 바라는 마음은 느껴지지만 학생들을 진정으로 위한다면 학생들의 시간을 그만 빼앗았으면 좋겠다고 간절히 느낌.비추
16,김숙경,대학화학,1,재수가 답인가 라는 생각이 들정도로 후회할뻔했습니다
17,이장웅,역사의고전,1,교수님이 ppt직접 만들어 오시는데 기본 200페이지로 많습니다. 프린트 해도 보기 힘든건 마찬가지..중간은 과제로 대체했습니다. 15분 늦게 시작하는건 좋은데 45분에 끝납니다. 교수님이 말하실때 웅얼거리셔서 못알아 듣기도 합니다. 정말  빡빡하게 시간 채워서 하셔서 피곤합니다.. 듣지 마세요..
18,박종석,운동과건강관리,1,맨날 김종국 이야기함 노잼  혼자 이야기 하시는 듯
19,김동규,미디어프랑스어,5,나쁘지 않았어요. 프랑스어 처음 배워보는데 난이도가 많이 어렵지 않고 딱 적당한 수준이었던 것 같아요. 조금 지루한 점도 있긴 하지만 대부분의 수업 정도의 지루함 이었던 것 같아요. 시험 난이도도 적당하고 과제도 그날 배운거만 하면 돼서 괜찮았습니다. 프랑스어도 기초는 할 수 있게 되었어요
20,심성보,세계정세바로보기,1,기초교양이라는 것을  잊은 수업발표 할때마다 질문 필수로 해야하는데 네이버에 검색하면 나올만한거 질문하지 말라고 함 그래서 질문 안하면 수업참여 안한다고 함.시험 잘보려면 한학기 세계 이슈 빠삭하게 알고 있으면 됨 시험은 논술식이랑 약술식인데 거의 입사시험 수준
