,Prof,Lec,Star,Reviews
0,강아람,채플,3,따뜻해서 자기 좋음 좀더 빨리 끝내주면 좋겠음~~~~!!!
1,MichaelChang,AcademicWritinginEnglish2(영어),4,교수님이 점수를 후하게 주시는 편 그래서 학점이 어떻게 나올지 모르겠음 총 퀴즈 4번에 writting test 1번 발표 2번으로 이루어짐
2,오원석,무역계약론,4,"교수님이 주로 판서로 수업하고 시험공부할때 판서랑 책 참고해서 하면 시험잘볼수있음. 시험문제는 o/x, 객관식, 단답형으로 나오고 무난함"
3,김연욱,기초공학수학2,3,수업 준비를 많이 해오시고 강의계획서 그대로 수업하셔서 좋아요 공부만 잘하면 a가능합니다
4,?,저작권법/라이선싱(숭실사이버대)(온라인),5,싸강은 꿀이고 시험도 쉬워서 좋았음 그래도 출석은 다 점수가 비슷해서 시험을 잘 준비하는게 좋음
5,이태식,노사관계론,5,"인사관리도 이태식 교수님 들었는데 정말 좋으신 분!이번 학기부터 팀플 없애셔서 오직 시험 2회만 봅니다.과제도 없고 정말 편했어요교수님의 나긋나긋한 목소리에 잠이 솔솔 오지만매일 수업자료도 가득 준비하시고 열정적으로 강의하십니다.중간은 객관식+단답형, 기말은 객관식으로 시험봤어요.책으로 강의하시기때문에 책은 반드시 필요해요.좋은 교수님이시고 , 학생들에게 쉽게 많은 것을 알려주고자 노력하시는 분이기때문에 추천합니다"
6,신항철,생화학1,1,강의력 = 0에 수렴하지만 독학으로 공부하다보면 나름 쏠쏠히 얻어가는 과목. 기말고사에 미하엘리스 식 유도하는 거 나온다는 거 개구라임. 맘 편하게 연습문제 푸시길 .
7,CampbellColin,AcademicWritinginEnglish2(영어),1,"퀴즈가 선물인줄 알아서 시도때도없이 깜짝퀴즈봄,, 학점도 c+ 이하로 40퍼센트 이상 줘서 비율을 채워주지 않는다. 시험도 스피킹이나 회화보단 문법위주여서 원어민 수업의 본질을 흐렸다고 생각함 드랍하지 않은걸 후회중. 듣지마세여"
8,조은식,채플,5,채플아 고마워담학기도 부탁할게너무 편히 쉬엏다!!
9,김은경,교육심리,5,교수님 강의력 최고 ㅎ시험공부 세세한거 다 나오니 수업때 집중하고 벼락치기 자제해요.. 사람들 시험 다 잘보니까 분발하세요
10,황원일,인간공학(가),5,팀플이 너무 빡세요! 시험은 암기만 잘하면 끝~
11,이은주,미적분학1,4,아직  수강하고 있는데 수업 열정 가지시고 잘 알려주세요 중간에 놓치면 따라가기 힘들때도 있어요
12,서창진,데이터통신과네트워크,5,선형대수에 이은 소프트웨어학부 최고의 명강의. 말이 필요없다. 서창진 교수님 수업을 듣는거 자체가 행운이다.
13,마은지,영상으로보는유럽문명과기독교,3,영상으로 본다해서 들었더니 영상 두어번 본듯...걍 유럽역사 수업이라고 생각하면 되고 교수님이 말을 정말 못하시고 같은 말씀을 반복 하신다수업이 노잼화라 출튀많이하기때문에 출석은 수업끝나고 호명하심.. 발표하고 싶은사람 발표 하고 아니면 유럽역사에 관련된 영화보고 레포트 3~4장 분량 쓰면 됨  시험은 근데 또 프린트로 내시는데 은근 대충보면 헷갈리는거 많기때매 꼼꼼히 봐야할듯
14,안태호,경영수리와통계,3,들을 수 있으면 다른 교수님꺼 추천....매주마다 쪽지시험 봐야되고 시험도 요번엔 3번봣지만 원래는 4번이라고 함. 쪽지시험은 초반에 쉽기때문에 초반에 점수 따놓을 것. 근데 이것도 은근 매주 신경쓰려면 좀 귀찮은건 사실... 수업도 그닥 이해잘되진 않고  하도 교수님이 쓸때없이 1학년 학생들 호명해서 노이로제 걸리지 않을까  사료됨
15,서영숙,재무관리(영어-한국어),1,"일단 교수님 자체는 참 좋은 분입니다.이름도 다 외워주시고 학생들에게 관심이 많으신분인건 확실. 근데 수업은 좀 못하시는 듯판서글씨도 엉망진창에 수업내용도 중구난방...진짜 정신똑바로 차려도 무슨말인지 잘 모르겠다..시험은 계산문제는 오히려 쉽고 몇문제 없고, 서술형이 다수인데 재무관리에 대해 복합적이고 전반적인 이해를 하지못했으면 나처럼 망하기 쉬운수업... 그냥 다른 교수님 들으시는거 추천"
16,장경우,기호와문화,3,생각보다 별로지만 그렇다고 나쁘지는 않음시험에 누구누구 생애를 외워서 적으라고만 안했으면 4점인데 ㄲㅂ
17,조영실,기초스페인어,3,수업 자체는 진도가 너무 빠른 걸 제외하면 나쁘지 않았지만거의 매 강의마다 늦게 오시면서 사과 한번 없으심;;참고로 외울 거 엄청 많아서 빡셉니다
18,정수현,AmericanPolitics(영어),3,수업 전반적으로 괜찮고 내가 영어 좀 한다 싶으면 들어시험 쉽고 학점 받기 좋음문제는 딱 하나. 교수님 영어가 알아듣기 극강 난이도임.발음은 혀를 굴리는 문제가 아니고 전혀 새로운 단어를 만들어내는 정도. 말 저는 것 심하시고. 조사 문법 제대로 못 쓰심.
19,김홍기,독일지역학입문,5,"이번 학기가 교수님의 마지막 수업이라고 하시네요..간혹 띠용하는 부분도 있지만 인품이 좋으신 분입니다.출석은 거의 안 부르시고, 오직 기말고사 1회로성적이 나옵니다. All 서술형 12문제였으며 수업시간에 강조하신 중요한 부분 위주로 출제하세요. 과제 없고, 학기중에 2번 간식도 사주셨습니다.기말고사 준비할 때는 힘들었지만, 평소에는 편하고 재밌게 들었네요. 마지막 수업이라는게 아쉬워요"
20,김동호,컴퓨터그래픽스(온&오프),5,과제 없고 중간 기말 시험봄글미 교수님이시고 강의력은 매우 좋음온라인에서 본걸 오프라인에서 다시 한번 짚어주고 몇개 예시를 보여주심개론수업이라서 딥하게는 안들어가심
21,이국배,공공가치와리더십,3,다른 교양보다는 부담적고 pf라 괜찮은데절대 꿀교양은 아니라는점..시키는것도 많음
22,김범,금융통계학(온&오프),5,교수님은 정말 훌륭하신데제가 바보에요...
23,김용범,StartupDesignThinking,4,동기들끼리 친해질수도있는 좋은수업같아요. 교수님도  학생들에게 맞춰주시고 큰부담을 주지 않으려고 하십니다. 주로 팀플로 발표는 2번있는데 대학생이면 피할수없는것이니 즐깁시다. 수업에 열심히 참여하다보면  수업도  금방 끝나요.  그리고 시험은 한번 보는데 한번인만큼 비중이높으니 열심히 준비합시다!
