,Prof,Lec,Star,Reviews
0,신영주,데이터구조설계,4,설명 잘해주십니다.과제 난이도는 보통입니다.
1,롤랜드,컴퓨터활용,4,파워포인트는 쉬운데 엑셀이 너무 어려워요...중간이랑 기말은 퀴즈랑 거의 유사합니다.시험 전에만 조금 연습해도 A0는 나옵니다.
2,설수황,골프,5,과제도 한번밖에 없고 시험에 대한 부담도 없고 너무 좋았어요~ 또 수강하고 싶어요~
3,이준환,디지털논리회로2,3,과제가 너무 많아요...프로젝트가 너무 어려워요...
4,박애영,회계원리,5,회계원리라는 약간은 무거운 내용을 교양처럼 가볍게 설명하시는 박애영 교수님!  부루마블로 감가상각을 가르치시는건 진짜 독특한 발상이었음. KAHOOT어플로 매 챕터가 끝날 때마다 퀴즈를 진행하시는데 여기서 다 맞기만 해도 참여점수는 거의  다 딸 수 있을 듯. 만약에 다음 학기에 원가회계 강의 개설하시면 또 뵈러 갈게요 교수님!
5,하태준,전자재료물성실험및설계2,5,너무너무 즐거운 한학기 였습니다 내년에도 꼭 하태준 교수님께서 이 수업을 담당해주셨으면 좋겠습니다 회로이론도 내년에 꼭 계속 담당해주세요 부탁드립니다 하태준 교수님 너무너무 사랑합니다 영원히 재료과의 실험과 회로를 담당해주세요 너무너무 행복한 한학기였습니다 너무 좋아요
6,김형국,상상공학과표현,3,"교양이 아니라 전공수업 듣는다는 생각으로 듣는게 속편합니다. 조교님이랑 하는 수업은 재밌는데 교수님이랑 하는 수업은 3, 4학년이 아니라면 도움받기 힘든것 같습니다. 행렬은 미리 예습하고 들으세요"
7,서두옥,오픈소스소프트웨어설계및실습,1,정보공학 아니면 듣지마세요. 시험 공부 할 때 내가 이걸 왜 외우고 있나.. 싶을 겁니다.
8,장홍제,무기화학2,5,누가 광운대 화학과의 미래를 묻거든 고개를 들어 옥의관 8층을 보게하라.
9,박지희,과학기술윤리,4,과제가 많지만 얻어가는 게 많은 강의 !! 본인이 한 만큼 학점이 나온다.
10,최진주,전파융합시스템실험,5,이론으로만 배운 내용을 눈으로 확인할 수 있습니다 조교님 친절하시고 교수님 열정적으로 가르쳐주십니다부담감없이 잘 들었슴
11,최현옥,대학수학및연습2,5,솔루션이랑 본인이 자필로 정리하신거 올려주시는데 좋음.  개인적으로 나는 수학 기초가 없는데도  교수님께서  새로배우는 내용에 옛날에 배운 내용까지 모두 알려주셔서 매우 좋았음. 왜인지는 모르겠는데  애들이 공부안해서 조금만해도 A는 걍 나옴
12,이영인,대학물리및실험2,2,장점은 인강이 있다는것  그외는 단점임. 싹 다 마음에 안들음
13,오종민,전자재료공학개론,3,1학년이였는데 중간고사를 잘보지도 못보지도 않았지만  아무리 기말을 잘쳐도 B쁠일것같아서 포기함.
14,남기현,C프로그래밍응용,4,"교수님이 불친절하셔서 질문하기꺼려짐.. 근데 그거말곤 ㄱㅊ.. 딱히 c언어알고있으면 수업 안들어도 되고, 수업시간에 딴 짓해도 되는게 개꿀임. 학점도 출석부만 깨끗하면 다 쁠채워줌"
15,전형철,읽기와쓰기,5,"꿀강이긴한데 내 기준으로 에세이1번, 자기소개서1번에 버킷리스트50개는 좀 많았음 ㅜㅜ 다 시험기간이랑 겹쳐서 너무 바빴음 ㅜ 아무튼 그래도 꿀강은 맞음 교수님 최고 유익한 강의"
16,노정진,현대재즈의역사,1,개별로 과거로 돌아가면 안 들을 수업 ㅎㅎ재즈 공연 보고 레포트 영어로 써야 하고 CDP 듣게 하고 출첵한 거 매우 짜증났음 ㅎㅎ
17,권태복,특허법,3,뭔말인지 알아듣기 힘든데 듣다보면 꽤나 잼씀근데 쨋든 사투리 알아듣기 힘듦
18,한재경,형법각론,3,수업은 재밌는데 솔직히 시험스탈  이제 좀 지친다너무 지엽적으로 문제나옴
19,구송광,현대사회와스포츠,1,이정도 퀄리티 수업이면 내일부터 나도 수업가능할듯시험은 쉬움
20,김진곤,헌법소송법,5,난   재밌던데  갓진곤!!!!결코 쉽진않지만 재밋다
