,Prof,Lec,Star,Reviews
0,"나현기,김남석",채플,1,기독교 학교에서 채플 시키는거라고 하니 더는 뭐라 못하겠지만..그래도 지나치게 강의 질이 낮은건 용납이 힘드네요
1,전창환,국제거시경제학,3,아버지께 쓴소리 들으면서  거시를 배우는 느낌입니다 ^^
2,정지영,화폐경제와금융,5,교수님 시험 자세하게 안 낸다고 하시지 않으셨나요..? ........경제학 기초 없으면 어려울 것 같고  교수님 설명 일목조연 하게 엄청 잘하심 수업 잘 듣고 부가 설명들도 기억 해놔야지 TF문제 헷갈리지 않고 풀 수 있을듯. 교수님 진짜 친절하시고 존멋이심  교수님 덕에 참고 학교  다닙니다 ㅇㄱㄹㅇ
3,김순진,중급중국어실습I,5,중국어 관심있고 좋아하면 추천합니다 ㅎㅎ.~~~~~~
4,김동식,한국어학개론,2,"국문과 여러분, 20학번 여러분. 듣지 마세요 정말. 19학번들 다 몸 배배꼬아가며 듣습니다. ㄹㅇ"
5,이은정,글쓰기의기초,5,"은정쌤은 항상 최고....말이 필요 없음 그냥.... 들으세요.... 괜히 수강신청 헬인 거 아님 빡빡하다고 느낄 수는 있으나, 들으면  뿌듯함"
6,유순혜,성서와예술,3,시험 없어서 봐준다.  과제는 매주 조원들끼리 모여서 만들어야 함 존나 귀찮고 수업 늦게 끝나서 매번 다음 강의 지각함
7,천지현,영어Ⅱ,1,재미없고... 지적하고..... 딴얘기하고..... 닭 키워다가 백숙해먹는 얘기를 해댐
8,"나현기,김남석",채플,1,카아아악퉤 존나 싫음 들을 때마다 시간 아깝고 열받아
9,하종문,사건으로보는일본사,5,출석진짜 널널 교수님도 재밌으셨음 근데 일본사 배경지식은 좀 있어야 다른사람 발표를 듣든 내가 발표를 하든 도움이 될거같음
10,"나현기,김남석",채플,3,학점 짜고 출결잡는게 부담스럽지만 무교인데도 부담스러울 정도로 종교적인 느낌은없어서 괜찮았음 차라리 그외 교필인 기독교나 성서 잘못들는쪽이 더 부담
11,정지영,증권경제론,4,배울수록 흥미는 느껴지지만 해당 과목이나 학과에 관심이 없다면 듣지 마시길 시험 개어려웠음 ㅠ
12,유형동,구비문학론,5,언제나 스윗하신 교수님 과제는 한 번 종강 전까지만 내면 된다
13,이강숙,영어Ⅱ,1,이 교수 들을바엔 토익공부해서 토익으로 영어수업 대체한다
14,이영남,기록관리의이론과실제,4,시험 자체가 없는 과목. 대신 과제가 폭탄인 수업.
15,류장현,신학입문,4,손놀림이 매우 좋아야 함.왜냐고?  필기가 매우 많음.강의 전 스트레칭 꼭 할 것.
16,윤평중,예술철학,3,어느정도 예술에 대해 지식이 있어야 함.난 힘들었음.
17,윤평중,예술철학,4,교수님이 조적조드립 한주만 하셨어도 넘 재밌었을 강의
18,강윤형,영어Ⅱ,4,진짜 교수님 발음 넘 좋고 재밌으시고 자상하시고 마인드 개오픈이신데제가 자주 빠져서 넘 죄송합니다...교수님....그리고 단어시험 넘 어려워요....
